numsteps: 1024 timestep: 0.0002688
time: 0.000000 force: 0.0000
time: 0.000269 force: 537.6
time: 0.000538 force: 1075.2
time: 0.000806 force: 1612.8
time: 0.001075 force: 2150.4
time: 0.001344 force: 2688.0
time: 0.001613 force: 3225.6
time: 0.001881 force: 3763.2
time: 0.002150 force: 4300.8
time: 0.002419 force: 4838.4
time: 0.002688 force: 5376.0
time: 0.002956 force: 5913.6
time: 0.003225 force: 6451.2
time: 0.003494 force: 6988.8
time: 0.003763 force: 7526.4
time: 0.004031 force: 8064.0
time: 0.004300 force: 8601.6
time: 0.004569 force: 9139.2
time: 0.004838 force: 9676.8
time: 0.005106 force: 9892.0
time: 0.005375 force: 9460.0
time: 0.005644 force: 8922.4
time: 0.005913 force: 8384.8
time: 0.006181 force: 7847.2
time: 0.006450 force: 7309.6
time: 0.006719 force: 6772.0
time: 0.006988 force: 6234.4
time: 0.007256 force: 5696.8
time: 0.007525 force: 5159.2
time: 0.007794 force: 4621.6
time: 0.008063 force: 4084.0
time: 0.008331 force: 3546.4
time: 0.008600 force: 3008.8
time: 0.008869 force: 2471.2
time: 0.009138 force: 1933.6
time: 0.009406 force: 1396.0
time: 0.009675 force: 858.4
time: 0.009944 force: 320.8
time: 0.010213 force: 0.0000
time: 0.010482 force: 0.0000
time: 0.010751 force: 0.0000
time: 0.011019 force: 0.0000
time: 0.011288 force: 0.0000
time: 0.011557 force: 0.0000
time: 0.011826 force: 0.0000
time: 0.012095 force: 0.0000
time: 0.012363 force: 0.0000
time: 0.012632 force: 0.0000
time: 0.012901 force: 0.0000
time: 0.013170 force: 0.0000
time: 0.013439 force: 0.0000
time: 0.013707 force: 0.0000
time: 0.013976 force: 0.0000
time: 0.014245 force: 0.0000
time: 0.014514 force: 0.0000
time: 0.014783 force: 0.0000
time: 0.015051 force: 0.0000
time: 0.015320 force: 0.0000
time: 0.015589 force: 0.0000
time: 0.015858 force: 0.0000
time: 0.016127 force: 0.0000
time: 0.016395 force: 0.0000
time: 0.016664 force: 0.0000
time: 0.016933 force: 0.0000
time: 0.017202 force: 0.0000
time: 0.017471 force: 0.0000
time: 0.017739 force: 0.0000
time: 0.018008 force: 0.0000
time: 0.018277 force: 0.0000
time: 0.018546 force: 0.0000
time: 0.018815 force: 0.0000
time: 0.019083 force: 0.0000
time: 0.019352 force: 0.0000
time: 0.019621 force: 0.0000
time: 0.019890 force: 0.0000
time: 0.020159 force: 0.0000
time: 0.020427 force: 0.0000
time: 0.020696 force: 0.0000
time: 0.020965 force: 0.0000
time: 0.021234 force: 0.0000
time: 0.021503 force: 0.0000
time: 0.021771 force: 0.0000
time: 0.022040 force: 0.0000
time: 0.022309 force: 0.0000
time: 0.022578 force: 0.0000
time: 0.022847 force: 0.0000
time: 0.023115 force: 0.0000
time: 0.023384 force: 0.0000
time: 0.023653 force: 0.0000
time: 0.023922 force: 0.0000
time: 0.024191 force: 0.0000
time: 0.024459 force: 0.0000
time: 0.024728 force: 0.0000
time: 0.024997 force: 0.0000
time: 0.025266 force: 0.0000
time: 0.025535 force: 0.0000
time: 0.025803 force: 0.0000
time: 0.026072 force: 0.0000
time: 0.026341 force: 0.0000
time: 0.026610 force: 0.0000
time: 0.026879 force: 0.0000
time: 0.027147 force: 0.0000
time: 0.027416 force: 0.0000
time: 0.027685 force: 0.0000
time: 0.027954 force: 0.0000
time: 0.028223 force: 0.0000
time: 0.028491 force: 0.0000
time: 0.028760 force: 0.0000
time: 0.029029 force: 0.0000
time: 0.029298 force: 0.0000
time: 0.029567 force: 0.0000
time: 0.029835 force: 0.0000
time: 0.030104 force: 0.0000
time: 0.030373 force: 0.0000
time: 0.030642 force: 0.0000
time: 0.030911 force: 0.0000
time: 0.031179 force: 0.0000
time: 0.031448 force: 0.0000
time: 0.031717 force: 0.0000
time: 0.031986 force: 0.0000
time: 0.032255 force: 0.0000
time: 0.032523 force: 0.0000
time: 0.032792 force: 0.0000
time: 0.033061 force: 0.0000
time: 0.033330 force: 0.0000
time: 0.033599 force: 0.0000
time: 0.033867 force: 0.0000
time: 0.034136 force: 0.0000
time: 0.034405 force: 0.0000
time: 0.034674 force: 0.0000
time: 0.034943 force: 0.0000
time: 0.035211 force: 0.0000
time: 0.035480 force: 0.0000
time: 0.035749 force: 0.0000
time: 0.036018 force: 0.0000
time: 0.036287 force: 0.0000
time: 0.036555 force: 0.0000
time: 0.036824 force: 0.0000
time: 0.037093 force: 0.0000
time: 0.037362 force: 0.0000
time: 0.037631 force: 0.0000
time: 0.037899 force: 0.0000
time: 0.038168 force: 0.0000
time: 0.038437 force: 0.0000
time: 0.038706 force: 0.0000
time: 0.038975 force: 0.0000
time: 0.039243 force: 0.0000
time: 0.039512 force: 0.0000
time: 0.039781 force: 0.0000
time: 0.040050 force: 0.0000
time: 0.040319 force: 0.0000
time: 0.040587 force: 0.0000
time: 0.040856 force: 0.0000
time: 0.041125 force: 0.0000
time: 0.041394 force: 0.0000
time: 0.041663 force: 0.0000
time: 0.041931 force: 0.0000
time: 0.042200 force: 0.0000
time: 0.042469 force: 0.0000
time: 0.042738 force: 0.0000
time: 0.043007 force: 0.0000
time: 0.043275 force: 0.0000
time: 0.043544 force: 0.0000
time: 0.043813 force: 0.0000
time: 0.044082 force: 0.0000
time: 0.044351 force: 0.0000
time: 0.044619 force: 0.0000
time: 0.044888 force: 0.0000
time: 0.045157 force: 0.0000
time: 0.045426 force: 0.0000
time: 0.045695 force: 0.0000
time: 0.045963 force: 0.0000
time: 0.046232 force: 0.0000
time: 0.046501 force: 0.0000
time: 0.046770 force: 0.0000
time: 0.047039 force: 0.0000
time: 0.047307 force: 0.0000
time: 0.047576 force: 0.0000
time: 0.047845 force: 0.0000
time: 0.048114 force: 0.0000
time: 0.048383 force: 0.0000
time: 0.048651 force: 0.0000
time: 0.048920 force: 0.0000
time: 0.049189 force: 0.0000
time: 0.049458 force: 0.0000
time: 0.049727 force: 0.0000
time: 0.049995 force: 0.0000
time: 0.050264 force: 0.0000
time: 0.050533 force: 0.0000
time: 0.050802 force: 0.0000
time: 0.051071 force: 0.0000
time: 0.051339 force: 0.0000
time: 0.051608 force: 0.0000
time: 0.051877 force: 0.0000
time: 0.052146 force: 0.0000
time: 0.052415 force: 0.0000
time: 0.052683 force: 0.0000
time: 0.052952 force: 0.0000
time: 0.053221 force: 0.0000
time: 0.053490 force: 0.0000
time: 0.053759 force: 0.0000
time: 0.054027 force: 0.0000
time: 0.054296 force: 0.0000
time: 0.054565 force: 0.0000
time: 0.054834 force: 0.0000
time: 0.055103 force: 0.0000
time: 0.055371 force: 0.0000
time: 0.055640 force: 0.0000
time: 0.055909 force: 0.0000
time: 0.056178 force: 0.0000
time: 0.056447 force: 0.0000
time: 0.056715 force: 0.0000
time: 0.056984 force: 0.0000
time: 0.057253 force: 0.0000
time: 0.057522 force: 0.0000
