numsteps: 101 timestep: 0.1
time: 0.0 force: 0.0000
time: 0.1 force: 0.1256
time: 0.2 force: 0.2487
time: 0.3 force: 0.3681
time: 0.4 force: 0.4818
time: 0.5 force: 0.5878
time: 0.6 force: 0.6845
time: 0.7 force: 0.7705
time: 0.8 force: 0.8443
time: 0.9 force: 0.9048
time: 1.0 force: 0.9511
time: 1.1 force: 0.9823
time: 1.2 force: 0.9980
time: 1.3 force: 0.9980
time: 1.4 force: 0.9823
time: 1.5 force: 0.9511
time: 1.6 force: 0.9048
time: 1.7 force: 0.8443
time: 1.8 force: 0.7705
time: 1.9 force: 0.6845
time: 2.0 force: 0.5878
time: 2.1 force: 0.4818
time: 2.2 force: 0.3681
time: 2.3 force: 0.2487
time: 2.4 force: 0.1256
time: 2.5 force: 0.0000
time: 2.6 force: -0.1256
time: 2.7 force: -0.2487
time: 2.8 force: -0.3681
time: 2.9 force: -0.4818
time: 3.0 force: -0.5878
time: 3.1 force: -0.6845
time: 3.2 force: -0.7705
time: 3.3 force: -0.8443
time: 3.4 force: -0.9048
time: 3.5 force: -0.9511
time: 3.6 force: -0.9823
time: 3.7 force: -0.9980
time: 3.8 force: -0.9980
time: 3.9 force: -0.9823
time: 4.0 force: -0.9511
time: 4.1 force: -0.9048
time: 4.2 force: -0.8443
time: 4.3 force: -0.7705
time: 4.4 force: -0.6845
time: 4.5 force: -0.5878
time: 4.6 force: -0.4818
time: 4.7 force: -0.3681
time: 4.8 force: -0.2487
time: 4.9 force: -0.1256
time: 5.0 force: -0.0000
time: 5.1 force: 0.1256
time: 5.2 force: 0.2487
time: 5.3 force: 0.3681
time: 5.4 force: 0.4818
time: 5.5 force: 0.5878
time: 5.6 force: 0.6845
time: 5.7 force: 0.7705
time: 5.8 force: 0.8443
time: 5.9 force: 0.9048
time: 6.0 force: 0.9511
time: 6.1 force: 0.9823
time: 6.2 force: 0.9980
time: 6.3 force: 0.9980
time: 6.4 force: 0.9823
time: 6.5 force: 0.9511
time: 6.6 force: 0.9048
time: 6.7 force: 0.8443
time: 6.8 force: 0.7705
time: 6.9 force: 0.6845
time: 7.0 force: 0.5878
time: 7.1 force: 0.4818
time: 7.2 force: 0.3681
time: 7.3 force: 0.2487
time: 7.4 force: 0.1256
time: 7.5 force: 0.0000
time: 7.6 force: -0.1256
time: 7.7 force: -0.2487
time: 7.8 force: -0.3681
time: 7.9 force: -0.4818
time: 8.0 force: -0.5878
time: 8.1 force: -0.6845
time: 8.2 force: -0.7705
time: 8.3 force: -0.8443
time: 8.4 force: -0.9048
time: 8.5 force: -0.9511
time: 8.6 force: -0.9823
time: 8.7 force: -0.9980
time: 8.8 force: -0.9980
time: 8.9 force: -0.9823
time: 9.0 force: -0.9511
time: 9.1 force: -0.9048
time: 9.2 force: -0.8443
time: 9.3 force: -0.7705
time: 9.4 force: -0.6845
time: 9.5 force: -0.5878
time: 9.6 force: -0.4818
time: 9.7 force: -0.3681
time: 9.8 force: -0.2487
time: 9.9 force: -0.1256
time: 10.0 force: -0.0000
